 11Be   11    4   17    1    1    2    0.501636   20.164430
  1   0.000000   0.5  1  -1.00E+00  0 0                    1/2+  0                      
  2   0.320040   0.5 -1   1.15E-13  1 0                    1/2-  0                      
                                          1      0.320  0.000E+00  0.000E+00  0.000E+00
  3   1.783000   1.5  1   0.00E+00  0 1              (3/2,5/2)+  0                      
  4   2.654000   1.5 -1   0.00E+00  0 0                    3/2-  0                      
  5   3.400000   1.5 -1   0.00E+00  0 0                  (3/2-)  0                      
  6   3.889000   2.5 -1   0.00E+00  0 0                    5/2-  0                      
  7   3.955000   1.5 -1   0.00E+00  0 0                    3/2-  0                      
  8   5.255000   2.5 -1   0.00E+00  0 0                    5/2-  0                      
  9   5.849000  -1.0  0   0.00E+00  0 0                          0                      
 10   6.510000  -1.0  0   0.00E+00  0 0                          0                      
 11   6.705000  -1.0  0   0.00E+00  0 0                          0                      
 12   7.030000   2.5 -1   0.00E+00  0 0                  (5/2-)  0                      
 13   8.020000   1.5 -1   0.00E+00  0 0                    3/2-  0                      
 14   8.813000   1.5 -1   0.00E+00  0 0                    3/2-  0                      
 15  10.590000   2.5 -1   0.00E+00  0 0                    5/2-  0                      
 16  16.300000  -1.0  0   0.00E+00  0 0                          0                      
 17  18.190000  -1.0  0   0.00E+00  0 0                          0                      
