 50Ca   50   20   21    9    7    2    6.360546   17.266705
  1   0.000000   0.0  1  -1.00E+00  0 0                      0+  0                      
  2   1.026900   2.0  1   0.00E+00  1 0                      2+  0                      
                                          1      1.027  1.000E+00  1.000E+00  0.000E+00
  3   3.002300   2.0  1   0.00E+00  1 0                    (2+)  0                      
                                          2      1.975  1.000E+00  1.000E+00  0.000E+00
  4   3.531900   1.0  0   0.00E+00  2 1                  (1,2+)  0                      
                                          2      2.505  5.203E-01  5.203E-01  0.000E+00
                                          1      3.532  4.797E-01  4.797E-01  0.000E+00
  5   4.035900   1.0  0   0.00E+00  2 1                  (1,2+)  0                      
                                          2      3.009  3.762E-01  3.762E-01  0.000E+00
                                          1      4.036  6.238E-01  6.238E-01  0.000E+00
  6   4.476100   0.0  1   0.00E+00  1 0                    (0+)  0                      
                                          2      3.449  1.000E+00  1.000E+00  0.000E+00
  7   4.886300   1.0 -1   0.00E+00  1 0                    (1-)  0                      
                                          1      4.886  1.000E+00  1.000E+00  0.000E+00
  8   6.519000  -1.0  0   0.00E+00  1 0                          1 AP   100.0000 %N     
                                          1      6.510  1.000E+00  1.000E+00  0.000E+00
  9   7.039000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 10   7.269000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 11   7.309000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 12   7.619000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 13   7.999000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 14   8.249000  -1.0  0   0.00E+00  0 0                          1 AP   100.0000 %N     
 15   8.810000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 16   9.239000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 17   9.779000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 18  10.430000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 19  10.550000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 20  11.059000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
 21  11.479000   0.0 -1   0.00E+00  0 1                 (0-,1-)  1 AP   100.0000 %N     
