137Pm  137   61   11   16   10    3   10.974254    2.162532
  1   0.000000   5.5 -1  -1.00E+00  0 0                   11/2-  0                      
  2   0.163700   3.5 -1   0.00E+00  1 0                    7/2-  0                      
                                          1      0.164  7.148E-01  1.000E+00  3.990E-01
  3   0.337100   7.5 -1   0.00E+00  1 0                   15/2-  0                      
                                          1      0.337  0.000E+00  0.000E+00  0.000E+00
  4   0.344100  -1.0  0   0.00E+00  1 0                          0                      
                                          2      0.180  1.000E+00  1.000E+00  0.000E+00
  5   0.380500   4.5 -1   0.00E+00  2 0                  (9/2)-  0                      
                                          2      0.217  2.459E-01  2.897E-01  1.780E-01
                                          1      0.381  6.831E-01  7.103E-01  3.990E-02
  6   0.559000  -1.0  0   0.00E+00  1 0                          0                      
                                          1      0.559  1.000E+00  1.000E+00  0.000E+00
  7   0.694900  -1.0  0   0.00E+00  2 0                          0                      
                                          2      0.531  1.000E+00  1.000E+00  0.000E+00
                                          1      0.695  0.000E+00  0.000E+00  0.000E+00
  8   0.761700  -1.0  0   0.00E+00  3 0                          0                      
                                          6      0.202  0.000E+00  0.000E+00  0.000E+00
                                          5      0.381  0.000E+00  0.000E+00  0.000E+00
                                          1      0.762  0.000E+00  0.000E+00  0.000E+00
  9   0.789000   3.5 -1   0.00E+00  2 1         (7/2,9/2,11/2)-  0                      
                                          5      0.408  9.678E-01  1.000E+00  3.330E-02
                                          2      0.625  0.000E+00  0.000E+00  0.000E+00
 10   0.864400  -1.0  0   0.00E+00  2 0                          0                      
                                          5      0.484  0.000E+00  0.000E+00  0.000E+00
                                          2      0.701  0.000E+00  0.000E+00  0.000E+00
 11   0.977000  -1.0  0   0.00E+00  1 0                          0                      
                                          9      0.188  1.000E+00  1.000E+00  0.000E+00
