181Os  181   76   25   51   23    1    7.265088    5.001575
  1   0.000000   0.5 -1  -1.00E+00  0 0                    1/2-  0                      
  2   0.049030   3.5 -1   0.00E+00  0 0                    7/2-  0                      
  3   0.093820   1.5 -1   0.00E+00  1 0                    3/2-  0                      
                                          1      0.094  1.481E-01  1.000E+00  5.750E+00
  4   0.102760   2.5 -1   0.00E+00  2 0                    5/2-  0                      
                                          3      0.009  0.000E+00  0.000E+00  0.000E+00
                                          1      0.103  0.000E+00  0.000E+00  0.000E+00
  5   0.156540   4.5  1   0.00E+00  1 0                    9/2+  0                      
                                          2      0.108  7.530E-01  1.000E+00  3.280E-01
  6   0.172610   4.5 -1   0.00E+00  1 0                    9/2-  0                      
                                          2      0.123  2.392E-01  1.000E+00  3.180E+00
  7   0.200100   5.5  1   0.00E+00  1 0                   11/2+  0                      
                                          5      0.043  0.000E+00  0.000E+00  0.000E+00
  8   0.320850   3.5 -1   0.00E+00  2 0                    7/2-  0                      
                                          4      0.218  0.000E+00  0.000E+00  0.000E+00
                                          3      0.227  1.000E+00  1.000E+00  0.000E+00
  9   0.321000   5.5 -1   0.00E+00  2 0                   11/2-  0                      
                                          6      0.148  0.000E+00  0.000E+00  0.000E+00
                                          2      0.272  0.000E+00  0.000E+00  0.000E+00
 10   0.334390   4.5 -1   0.00E+00  1 0                    9/2-  0                      
                                          4      0.232  1.000E+00  1.000E+00  0.000E+00
 11   0.340970   3.5  1   0.00E+00  2 0                  (7/2+)  0                      
                                          5      0.184  1.000E+00  1.000E+00  0.000E+00
                                          2      0.292  0.000E+00  0.000E+00  0.000E+00
 12   0.367870   2.5 -1   0.00E+00  4 0                  (5/2-)  0                      
                                          6      0.195  0.000E+00  0.000E+00  0.000E+00
                                          4      0.265  0.000E+00  0.000E+00  0.000E+00
                                          3      0.274  0.000E+00  0.000E+00  0.000E+00
                                          2      0.319  1.000E+00  1.000E+00  0.000E+00
 13   0.423760   3.5 -1   0.00E+00  3 0                  (7/2-)  0                      
                                          6      0.251  0.000E+00  0.000E+00  0.000E+00
                                          4      0.321  0.000E+00  0.000E+00  0.000E+00
                                          2      0.375  0.000E+00  0.000E+00  0.000E+00
 14   0.506810   3.5 -1   0.00E+00  7 0                    7/2-  0                      
                                         12      0.139  0.000E+00  0.000E+00  0.000E+00
                                         11      0.166  0.000E+00  0.000E+00  0.000E+00
                                          6      0.334  0.000E+00  0.000E+00  0.000E+00
                                          5      0.350  1.000E+00  1.000E+00  0.000E+00
                                          4      0.404  0.000E+00  0.000E+00  0.000E+00
                                          3      0.413  0.000E+00  0.000E+00  0.000E+00
                                          2      0.457  0.000E+00  0.000E+00  0.000E+00
 15   0.509100   4.5  1   0.00E+00  3 0                  (9/2+)  0                      
                                         11      0.169  0.000E+00  0.000E+00  0.000E+00
                                          7      0.309  8.636E-01  8.636E-01  0.000E+00
                                          5      0.352  1.364E-01  1.364E-01  0.000E+00
 16   0.525000  -1.0  0   0.00E+00  1 0                          0                      
                                          3      0.431  0.000E+00  0.000E+00  0.000E+00
 17   0.574200   4.5 -1   0.00E+00  1 0                  (9/2-)  0                      
                                         13      0.150  0.000E+00  0.000E+00  0.000E+00
 18   0.575760  -1.0  0   0.00E+00  2 0                          0                      
                                          3      0.482  0.000E+00  0.000E+00  0.000E+00
                                          1      0.576  0.000E+00  0.000E+00  0.000E+00
 19   0.640310  -1.0  0   0.00E+00  4 0                          0                      
                                          8      0.320  0.000E+00  0.000E+00  0.000E+00
                                          4      0.537  0.000E+00  0.000E+00  0.000E+00
                                          3      0.546  0.000E+00  0.000E+00  0.000E+00
                                          1      0.640  0.000E+00  0.000E+00  0.000E+00
 20   0.663000   5.5 -1   0.00E+00  1 0                   11/2-  0                      
                                          9      0.342  0.000E+00  0.000E+00  0.000E+00
 21   0.684800  -1.0  0   0.00E+00  2 0                          0                      
                                          7      0.485  0.000E+00  0.000E+00  0.000E+00
                                          5      0.528  0.000E+00  0.000E+00  0.000E+00
 22   0.749130  -1.0  0   0.00E+00  2 0                          0                      
                                          6      0.577  5.000E-01  5.000E-01  0.000E+00
                                          2      0.700  5.000E-01  5.000E-01  0.000E+00
 23   1.688400  -1.0  0   0.00E+00  3 0                          0                      
                                         14      1.182  1.165E-01  1.165E-01  0.000E+00
                                         11      1.347  1.606E-01  1.606E-01  0.000E+00
                                          2      1.640  7.229E-01  7.229E-01  0.000E+00
 24   1.701400  -1.0  0   0.00E+00  3 0                          0                      
                                          6      1.529  5.577E-01  5.577E-01  0.000E+00
                                          5      1.545  1.154E-01  1.154E-01  0.000E+00
                                          2      1.653  3.269E-01  3.269E-01  0.000E+00
 25   1.722100  -1.0  0   0.00E+00  2 0                          0                      
                                         11      1.381  4.961E-01  4.961E-01  0.000E+00
                                          5      1.566  5.039E-01  5.039E-01  0.000E+00
